
--- chase, drag +300 px, button held still 5000 ms
  elapsed   rawDt   inYaw   lookYaw
    50.813  0.0992       0    0.1976
      50.9  0.0198       0    0.1901
    50.979  0.0157       0    0.1835
    51.146  0.0659       0    0.1679
    51.279  0.0325       0    0.1575
    51.379  0.0158       0    0.1501
    51.479  0.0325       0     0.143
    51.563  0.0164       0    0.1372
     51.78  0.1335       0    0.1219
    51.914  0.1166       0     0.114
    51.979   0.016       0    0.1109
    52.114  0.0172       0    0.1035
    52.247  0.5492       0    0.0967
     52.38  0.0166       0    0.0905
    52.563  0.3506       0    0.0824
    52.662  0.0661       0    0.0787
    52.862  0.0164       0     0.071
    53.162  0.2175       0    0.0609
    53.378  0.0166       0    0.0548
    53.528  0.0166       0     0.051
    53.595  0.0179       0    0.0496
    53.711  0.0162       0    0.0468
    53.828  0.0842       0     0.044
    53.912  0.0172       0    0.0422
    54.077  0.0167       0    0.0388
    54.212    0.05       0    0.0363
    54.278  0.0167       0    0.0353
    54.362  0.0169       0    0.0338
    54.411  0.0162       0    0.0331
    54.494  0.0492       0    0.0317
    54.595  0.0161       0    0.0301
    54.678  0.0336       0    0.0289
    54.761  0.0159       0    0.0277
    54.862  0.0336       0    0.0264
    54.962  0.0337       0    0.0251
    55.045  0.0336       0    0.0241
    55.145  0.0336       0    0.0229
    55.228  0.0326       0     0.022
    55.311  0.0172       0    0.0211
    55.412  0.0332       0      0.02
    55.578  0.0836       0    0.0183
    55.645  0.0169       0    0.0178
